,date,policy_type,start_stop,comments,total_phases,state
3218,2020-09-07,Food and Drink,stop,"Policy_Details: grocery stores and pharmacies must designate at least two hours/week for vulnerable populations; food-selling establishments must close self-serve stations; if an employee tests positive, establishments must notify vendors and employees within 12 hours   Source information: https://content.govdelivery.com/attachments/MIEOG/2020/08/10/file_attachments/1515488/EO%202020-168%20Emerg%20order%20-%20Food-sellers%20-%20re-issue.pdf",,MI
3219,2020-05-22,Phase 1,stop,"Policy_Details: Executive order signed by governor, statewide Cooper signed an executive order modifying the stay-at-home order and transitioning the state into Phase 1 of easing restrictions, effective 5:00 p.m. on May 8. The order will last until at least May 22. The modified order removes the distinction between essential and nonessential businesses. Retail businesses may operate at 50% capacity and must implement health and safety measures for workers and customers. Cloth face coverings are recommended for workers, and teleworking is encouraged whenever possible. In Phase 1, restaurants remain limited to drive-through, takeout and delivery service. Bars, personal care businesses, entertainment venues and gyms will stay closed. Child care facilities can be open during Phase 1, subject to strict cleaning protocols, to serve families of parents who are working or looking for work. Summer day camps can operate in compliance with state guidelines. Phase Level: 1, Phase Details Source information: https://files.nc.gov/governor/documents/files/EO121-Stay-at-Home-Order-3.pdf",3.0,NC
3226,2020-06-26,Food and Drink,stop,"Policy_Details: restaurants may open, with tables approximately six feet apart, reduce use of waiting areas, continue to keep playground areas closed   Source information: https://rebound.idaho.gov/wp-content/uploads/stage4-protocols-restaurants.pdf",,ID
3229,2020-06-15,Food and Drink,stop,"Policy_Details: All industries: practice social distancing
Retail: 25% capacity
No stated capacity limits on any other industries.   Source information: https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/pdf/economic-reopening61-15.pdf",,MO
3230,2020-06-25,Entertainment,stop,Policy_Details: Movie theaters and Performance Venues open with social distancing.    Source information: https://quincy-network.s3.ca-central-1.amazonaws.com/wp-content/uploads/sites/4/2020/06/Iowa-Public-Health-Proclamation-2020.06.10-50-capacity-lifted.pdf,,IA
3231,2020-05-03,Shelter in Place,stop,State Policy End,,MO
3233,0020-05-04,Food and Drink,stop,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,SC
3239,0020-05-01,Non-Essential Businesses,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,ND
3241,2020-05-22,Childcare (K-12),stop,"Policy_Details: Executive order signed by governor, statewide. Child care facilities can be open during Phase 1, subject to strict cleaning protocols, to serve families of parents who are working or looking for work. Summer day camps can operate in compliance with state guidelines. Phase Level: 1, Phase Details Source information: https://files.nc.gov/governor/documents/files/EO121-Stay-at-Home-Order-3.pdf",3.0,NC
3243,2020-04-26,Shelter in Place,stop,"Stay at home, effective 6:00 a.m. MDT, March 26 until at least April 11. On April 6, extended to April 26",,CO
3246,2020-08-16,Mask Requirement,stop,"Policy_Details: Governor Polis issued EO D 2020 138 to amend and extend EO's D 2020 039, D 2020 067, D 2020 092, and D 2020 110 that orders individuals in Colorado to wear a medical or non medical face covering due to COVID-19 Phase Level: 2, Phase Details Source information: https://www.colorado.gov/governor/sites/default/files/inline-files/D%202020%20138%20Mask%20Order.pdf",,CO
3248,2020-08-09,Mask Requirement,stop,"Policy_Details: Executive Order 2020-586: Signed 7/19 by Governor Andy Beshear. Effective 7/10 at 5 pm for 30 days. Face coverings must be worn when in line for or inside grocery store/pharmacy, retail establishment, personal care establishment, daycare/childcare facility, restaurant/food establishment, healthcare setting, any other indoor public place where social distancing is not possible, while waiting for or using public transportation or ride sharing, and while in an outdoor public setting where social distancing of 6 feet is not possible between members of different households.  Exceptions for anyone 5 and under, disability making mask wearing not possible safely, when communicating with someone who is hearing impaired or conducting a broadcast, for safety reasons if performing a task that would be deemed unsafe by the state to be wearing a face covering for, when receiving a service that requires the face to be uncovered, for safety/security reasons, when actively exercising, swimming, eating or drinking.    Source information: https://govsite-assets.s3.amazonaws.com/A59NLcxVTFG7ioyvncMY_20200709_Executive-Order_State-of-Emergency.pdf",,KY
3250,2020-07-18,Alternative Care Facilities ,stop,"Policy_Details: Governor Polis issued Executive Order D 2020 107 extending Executive Order D 2020 071 to ensure health care facilities have sufficient resources and to ensure the safety and well-being of COVID-19 patients who no longer require inpatient care but still require medical care while recovering  Phase Level: 2, Phase Details Source information: https://www.colorado.gov/governor/sites/default/files/inline-files/D%202020%20107%20Alternative%20Care%20Sites.pdf",,CO
3251,2020-09-30,Manufacturing,stop,"Policy_Details: Governor Brian Kemp issued Executive Order on 9/15, providing additional guidance for Empowering a Healthy Georgia in response to COVID-19. Specific guidelines within order for different types of businesses.    Source information: https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders",,GA
3253,2020-05-18,Personal Care,stop,"Policy_Details: Stay at home order ended by governor on april 30th, statewide. Executive order to enter phase one.  Texas' stay-at-home order ended April 30. Under Abbott's ""Open Texas"" plan, personal care businesses such as barbershops, hair salons, and tanning salons were allowed to resume operations starting on May 8. Tattoo parlors remain closed. Phase Level: 1, Phase Details Source information: https://gov.texas.gov/uploads/files/press/EO-GA-18_expanded_reopening_of_services_COVID-19.pdf",,TX
3254,0020-05-29,Non-Essential Businesses,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,IL
3255,2020-06-30,Childcare (K-12),stop,"Policy_Details: K-12 schools remain closed ; school closure does not include administrators, teachers, staff, vendors, or contractors

   Source information: https://coronavirus.ohio.gov/static/publicorders/3rd-amended-k-12-order.pdf",,OH
3256,2020-11-23,Childcare (K-12),stop,"Policy_Details: -  No organized or school-sponsored extracurricular activities, including sports and intramural events. 
   Source information: https://coronavirus-download.utah.gov/Health/State_of_Emergency.pdf",,UT
3257,0020-05-08,Non-Essential Businesses,stop,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",,CA
3258,2020-04-30,Shelter in Place,stop,"Stay at home, effective April 4 at 5 p.m.",,AL
3263,2020-03-19,Order Freezing Utility Shut Offs,start,Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate,,NM
3264,2020-03-21,Nursing Homes,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,TX
3265,2020-03-25,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,NE
3267,2020-05-29,Houses of Worship,start,"Policy_Details: Houses of Worship: Maximum 50 people
 Phase Level: 2, Phase Details Source information: https://nvhealthresponse.nv.gov/wp-content/uploads/2020/05/Directive-021-Phase-Two-Reopening-Plan.pdf",3.0,NV
3269,2020-05-15,New Phase,start,"Policy_Details: Currently open: Grocery stores, pharmacies, banks and credit unions, and gas stations are all open. Restaurants are open for take-out service only. Stand alone retail operations are open provided they meet required safety and physical distancing guidelines. Indoor and outdoor malls are closed. Local outdoor recreation activities are open, including many state parks. Non-emergency medical care, dentist offices and veterinary care are open and operating, provided they meet required safety guidelines. Local cultural, civic and faith gatherings are allowed for up to 25 people provided physical distancing can be in place. Local social gatherings over 10 people are prohibited and those under 10 people must use physical distancing. Personal care services such as salons and barbers, as well as gyms, are closed. Child care is open under certain restrictions, with priority placements for children of health care workers, first responders, and frontline workers. Public transit is open under certain restrictions, and must be sanitized often and enforce 3 feet of space between passengers. Overnight camps are not permitted. Day camps are open with restrictions, including maximum stable groups of 10 or fewer children. For summer school, limited in-person, small group instruction and/or summer programming is allowed, with certain restrictions. Phase Level: 1, Phase Details Source information: https://govstatus.egov.com/reopening-oregon#phase1",,OR
